Name,Index,KEGGID,FullName,Other,Lipid,Cofactor,Nucleotide,AminoAcid,CentralCarbon
amob[c],116,C04425,S_Adenosyl_4_methylthio_2_oxobutanoate,0,0,1,0,0,0
anth[c],117,C00108,Anthranilate,0,0,0,0,1,0
apoACP[c],118,C03688,apoprotein_acyl_carrier_protein,0,0,1,0,0,0
aps[c],119,C00224,Adenosine_5__phosphosulfate,0,0,0,0,1,0
ara5p[c],120,C01112,D_Arabinose_5_phosphate,0,1,0,0,0,0
arg_L[c],121,C00062,L_Arginine,0,0,0,0,1,0
argsuc[c],122,C03406,N_omega___L_Arginino_succinate,0,0,0,0,1,0
asn_L[c],123,C00152,L_Asparagine,0,0,0,0,1,0
asp_L[c],124,C00049,L_Aspartate,0,0,0,0,1,0
aspsa[c],125,C00441,L_Aspartate_4_semialdehyde,0,0,0,0,1,0
